I'm sad.	悲しいです。
I'll love you forever.	君を永遠に愛します。
You'd better hurry up.	急いだほうがいいよ。
I met her by accident.	偶然に彼女と会った。
How was your flight?	空の旅はいかがでしたか。
Give me the bill, please.	勘定を頼むよ。
We have snow in January.	１月は雪が降る。
My foot's asleep again!	また足がしびれた。
Well, I'll be damned!	まあ、何て呆れたこと！
Can Bob be sick?	ボブはいったい病気なのだろうか。
Bill stopped smoking.	ビルはたばこを止めた。
Let's call Bill up.	ビルに電話をかけてみよう。
The bus will come soon.	バスはすぐ来ます。
He fills the bill.	なかなかしっかりやってるよ。
Can you get it repaired?	なおして下さい。
There is a knife missing.	ナイフがない。
She locked the door.	彼女はドアに鍵を掛けた。
Is it a direct flight?	それは直行便ですか。
Then she hurried home.	それから家に急いだ。
The cup has a crack.	その茶碗にはひびがある。
The baby fell asleep.	その赤ちゃんは眠った。
He is to blame for it.	その責任は彼にある。
The movie is X-rated.	その映画は成人向きだ。
The milk tasted bad.	そのミルクはまずかった。
How's the weather there?	そっちの天気は？
Every star is a sphere.	すべての星は球だ。
This is a nice camera.	これはよいカメラだ。
Hold in your stomach.	お腹を引っ込めなさい。
Yes, this is Anthony.	ええ、アンソニーです。
That is an old camera.	あれは古いカメラだ。
Who is that gentleman?	あの紳士は誰ですか。
Your pulse is normal.	あなたの脈は普通です。
Pretend you're me.	あなたが私のふりをしなさい。
There goes our bus.	あっ、バスが行ってしまう。
Oh, yes, I remember.	ああそうそう思い出した。
Both dogs are asleep.	２匹の犬は眠っている。
Is that a recent photo?	それは最近の写真？
I believe in magic.	わたしは魔法を信じている。
I'll have bread tomorrow.	明日はパンにする
We made the proposal.	その提案を私達がしました
Keep pace with the times.	時代の波に乗ろう
What do customers want?	お客様が何を求めるか
Uncertainty still remains.	まだ不安が残る
I suddenly felt sick.	急に私の気分が悪くなった
Any port in a storm.	嵐の時はどんな港でもよい。
The request was granted.	要求は認められた。
I'll check my schedule.	予定表を見ましょう。
It's ahead of schedule.	予定より進んでいる。
I really appreciate it.	有難うございました。
Darkness is falling.	夜のとばりが下りつつある。
Will it rain tomorrow?	明日雨が降るだろうか。
How about for tomorrow?	明日ならどうですか。
Call her tomorrow.	明日、彼女に電話をかけなさい。
It will snow tomorrow.	明日、雪が降るだろう。
I want to marry her.	僕は彼女と結婚したいんだ。
Let's split the bill.	支払いは割り勘にしよう。
Easter is near at hand.	復活祭はもうすぐだ。
The room was locked.	部屋には鍵がかかっていた。
Take her to surgery.	彼女を手術室に運んでくれ。
She is seeking wealth.	彼女は富を求めている。
She is far from a fool.	彼女は馬鹿ではない。
She has lunch at home.	彼女は家で昼食をとる。
She is afraid of cats.	彼女はネコをこわがる。
She is quite a poet.	彼女はちょっとした詩人だ。
She sang very well.	彼女はたいへんうまく歌った。
Her jokes fell flat.	彼女の冗談は受けなかった。
She has many faults.	彼女には多くの欠点がある。
They're ignoring me.	彼らは僕に見向きもしない。
They arrived too soon.	彼らは早く着きすぎた。
They burst into tears.	彼らは急に泣きだした。
He is a fine gentleman.	彼は立派な紳士です。
Will he come tomorrow?	彼は明日来るだろうか。
He had no hat on.	彼は帽子をかぶってはいなかった。
He is blind in one eye.	彼は片目が見えない。
He is poor, but honest.	彼は貧乏だが正直だ。
He slipped on the ice.	彼は氷の上ですべった。
He adopted her idea.	彼は彼女の意見を採用した。
He died of lung cancer.	彼は肺がんで死んだ。
He does not like cats.	彼は猫が好きではない。
He burst into tears.	彼は突然わっと泣き出した。
He began to eat lunch.	彼は昼食を食べ始めた。
He paid me cash down.	彼は即金で払ってくれた。
He seems to be honest.	彼は正直であるようだ。
He doesn't mix well.	彼は人付き合いがよくない。
He doesn't mix well.	彼は人つきあいがよくない。
He seems to be friendly.	彼は親切のようだ。
He doesn't see a joke.	彼は冗談がわからない。
He was made a fool of.	彼は笑いものにされた。
He screamed for help.	彼は助けを求めて叫んだ。
Though young, he is wise.	彼は若いが賢い。
He certainly is smart.	彼は実に如才ない男だ。
He met with an accident.	彼は事故にあった。
He was learning a poem.	彼は詩を覚えていた。
He is in conference now.	彼は今会議中です。
He felt a sudden pain.	彼は急に痛みを覚えた。
He has a noble mind.	彼は気高い心を持っている。
He turned on the radio.	彼はラジオをつけた。
He hasn't arrived yet.	彼はまだ着いていない。
He is a poet of a sort.	彼はへっぽこ詩人だ。
He is a real gentleman.	彼こそ本物の紳士だ。
Just brush your hair.	髪にブラシをかけなさい。
It really depends on when.	日にち次第よ。
The road is under repair.	道路は修理中だ。
It is wrong to steal.	盗むのはいけないことだ。
The weather has improved.	天気が回復した。
My kid brother is twelve.	弟は12歳です。
Is breakfast ready?	朝食の準備はできていますか。
I'd prefer a brown one.	茶色がいいんですが。
Ladies before gentlemen.	男性より女性が先。
We can buy hot lunches.	暖かい弁当が買える。
Does anyone feel sick?	誰か気分でも悪いのか。
The sun sets in the west.	太陽は西に沈む。
Send this by sea mail.	船便で出してください。
Cut into long thin strips.	千切りにする。
To live is to suffer.	生きることは苦しむこと。
Water expands with heat.	水は熱で膨張する。
Accidents will happen.	人生に事故はつきもの。
Don't make a fool of me.	人を馬鹿にするな。
I think it depends.	場合によりけりだと思います。
You must be joking!	冗談をいっているのでしょう。
I have a slight cold.	少し風邪を引いています。
Will surgery help it?	手術をすれば治りますか。
The wheel began to turn.	車輪が回りだした。
Don't walk on the grass.	芝生の上を歩くな。
What a wonderful idea!	実にすばらしい考えだ。
I'm sick of hearing it.	耳にたこができたよ。
I'll take the next bus.	次のバスに乗ります。
We depend on you.	私達はあなたを頼りにしています。
I saw a beautiful bird.	私は美しい鳥を見た。
I shook hands with her.	私は彼女と握手した。
I'm only a customer.	私は買い物に来たものです。
I don't care for meat.	私は肉料理を好まない。
I refused absolutely.	私は断固として拒絶した。
I met her by accident.	私は偶然彼女に会った。
I turned off the radio.	私はラジオを消した。
What a fool I was!	私はなんと馬鹿だったのだろう。
I got wet to the skin.	私はずぶぬれになった。
I have two cameras.	私はカメラを２つ持っている。
I'm proud of you.	私はおまえのことを誇りに思うよ。
My skin burns easily.	私の肌は日焼けしやすい。
My car is under repair.	私の車は修理中です。
My sister is married.	私の姉は結婚しています。
My camera is a Nikon.	私のカメラはニコンです。
I am to blame for it.	私にその責任があります。
We let the bird fly.	私たちはその鳥を飛ばした。
I am far from sad.	私が悲しいなんてとんでもない。
I wish I were a bird.	私が鳥ならいいのになあ。
I wish I were a bird.	私が鳥であればよいのに。
Don't be soft with kids.	子供に甘くするな！
Pass the sugar, please.	砂糖を取って下さい。
Are you off duty tonight?	今夜非番ですか。
I'll ring you up tonight.	今夜電話します。
It may rain tonight.	今夜雨が降るかもしれない。
Will it snow tonight?	今夜は雪になるだろうか。
Can I see you tonight?	今夜お会いできますか。
Let's eat out tonight.	今晩、外食しましょう。
What's currently hot?	今人気を呼んでいるもの。
I begged her not to go.	行っちゃイヤだって。
Add sugar to the tea.	紅茶に砂糖を加えなさい。
You look very pale.	君は大変青白い顔をしている。
You made a wise choice.	君は賢い選択をした。
You have a regular pulse.	君の脈は正常だ。
The sky is full of stars.	空は星で一杯だ。
Don't go to extremes.	極端に走ってはならない。
Don't break a mirror.	鏡を割らないでください。
A mirror reflects light.	鏡は光を反射する。
You don't have to hurry.	急ぐ必要はないよ。
Let's sing a happy song.	楽しい歌を歌おう。
We sang in loud voices.	我々は大声で歌った。
The fire alarm sounded.	火災報知器が鳴った。
The house was in flames.	家は炎上していた。
Salt is sold by weight.	塩は目方で売られる。
Turn the flame down low.	炎を弱くしなさい。
The rain laid the dust.	雨で埃がおさまった。
It is raining heavily.	雨がひどく降っている。
We defeated the enemy.	われわれは敵を破った。
I would like mine rare.	レアでお願いします。
The radio doesn't work.	ラジオの音がでない。
Don't touch that button!	ボタンに触れるな！
Dust covers the desk.	ほこりが机を覆っている。
