Perfect!	完璧だ！
I usually eat out.	私は、普通外食しています。
I need his power.	私には彼のパワーが必要です。
I can hear nothing.	私には何も聞こえません。
I have an idea.	私に１つアイデアがあるのですが。
Don't be late for work.	仕事に遅れるな。
Let me finish.	最後まで話をつづけさせてください。
Is there a difference?	差額はありますか。
Ken keeps two cats.	健は猫を２匹飼っている。
What grade are you in?	君は何年生ですか。
You are quite a man.	君はいっぱしの大人だ。
Your hair is too long.	君の髪は長すぎる。
Go back to your seat.	君の席に戻りなさい。
Make your choice.	君の好きなものを選びなさい。
I put money in a safe.	金庫に金を入れる。
Fish live in the sea.	魚は海に住んでいる。
You have a telephone.	貴方は、電話を持つ。
The sea is not clear.	海がはっきりしない。
We met along the way.	我々は途中で会った。
What's eating you?	何をくよくよしているのだ。
I've heard nothing.	俺は全く何も聞いてない。
Can you speak English?	英語を話せますか。
Thanks to Mr Nagata.	永田さんのおかげです。
I'll buy you a drink.	一杯おごりましょう。
What's the big idea?	一体どういう了見だね。
We sent for a doctor.	医者に来てもらった。
Make more efforts.	よりいっそう努力しなさい。
Hi, Bill. How are you?	やあ、ビル。元気？
I can't eat any more.	もう食べられません。
Have you finished yet?	もう終わったかい？
Everyone likes her.	みんなは彼女が好きです。
I'll call again later.	また後でかけます。
Bob was very happy.	ボブはとても幸福だった。
Bob was very happy.	ボブはとても幸せだった。
The battery gave out.	バッテリーが切れた。
How beautiful it is!	なんと美しいんだろう。
What a good shot!	なんてうまいシュートだろう。
Tony's voice is nice.	トニー君の声は良い。
Please step inside.	どうぞ中へお入り下さい。
Keep the door open.	ドアを開けておきなさい。
It's no use on earth.	てんで役にたたない。
Oh, he broke wind.	ちょっと彼お鳴らしたわよ。
Give up such ideas.	そんな考えは捨てなさい。
That's not a bad idea.	それも悪くないね。
That's quite a problem.	それは大問題だ。
Is it large enough?	その大きさで十分ですか。
Jack speaks English.	ジャックは英語を話す。
Cool fall is here.	さわやかな秋となりました。
This will be his car.	これは彼の車だろう。
Is this seat taken?	この席は空いていますか？
This door won't open.	このドアは開かない。
Carlos turned round.	カルロスは振り返った。
Thanks for your reply.	お返事ありがとう。
Thank you for coming.	お見舞いありがとう。
I'm fine, thank you.	おかげさまで元気です。
I've got a good idea.	いい考えがあります。
An idea came to me.	ある考えが心に浮かんだ。
I'm fine, thank you.	ありがとう。元気です。
Try on that shirt.	あのシャツを着てみなさい。
You are a nice boy.	あなたはすてきな子です。
You are always late.	あなたはいつも遅れる。
I identify with you.	あなたとは気が合うわ。
I'll order that later.	あとで注文します。
It is under the chair.	椅子の下にいます。
You make an effort too!	君も努力してよ。
I know his family.	私は彼の家族を知っている。
Do you feel like eating?	何か食べたい？
I don't trust anyone.	私は誰も信用しない。
Everyone experiences it.	誰もが経験をする
It's based on the examples.	実例による
Cut it in half again.	さらに長さを半分に切る
Words connect people.	ことばが、人と人を繋ぐ
He runs his own business.	彼が事業を営む
It's only limited to X.	それはXに限ります
We guarantee you X.	私がXを皆さまに約束します
Practice makes perfect.	練習が完成を生む。
None of your business.	余計なことはするな。
Evening is drawing on.	夕方が近づいてきた。
I will make you happy.	僕は君を幸せにする。
Mother is away from home.	母は留守です。
My mother can't come.	母はお伺いできません。
Show me another bag.	別の鞄を見せてください。
Wait in line, please.	並んでお待ちください。
The wind is picking up.	風が出てきました。
Where's the museum?	美術館はどこにありますか。
Beauty is but skin deep.	美はただ皮一枚。
She's on the rolls.	彼女名簿に載っていますよ。
She made him happy.	彼女は彼を幸せにしました。
She has brown eyes.	彼女は茶色の目をしている。
She looks very happy.	彼女は大変嬉しそうだ。
She is now on vacation.	彼女は休暇中です。
She looks happy.	彼女は嬉しそうな顔をしています。
She's very beautiful.	彼女はたいした美人だ。
She died of cancer.	彼女はガンのせいで死んだ。
I meet her demands.	彼女の要求をかなえてやる。
You can't trust him.	彼を信用しちゃいけない。
They fought the fire.	彼らは消火にあたった。
They are now at rest.	彼らは今休息している。
They walked around.	彼らはあちこち歩き回った。
He looked at his watch.	彼は腕時計を見た。
He had his hair cut.	彼は髪を切ってもらった。
He studied on his own.	彼は独力で勉強した。
He enjoys his position.	彼は地位に満足だ。
He is kind by nature.	彼は生まれつき親切だ。
He is kind by nature.	彼は生まれつき温厚だ。
He seems a kind man.	彼は親切な人のようです。
He is given to drink.	彼は酒にふけっている。
He actually did it.	彼は実際にそれを実行した。
He does speak well.	彼は実に話すのがうまいよ。
He entered his room.	彼は自分の部屋に入った。
He has his own car.	彼は自分の車を持っている。
He is taking a walk.	彼は散歩に行っているよ。
He seems to be happy.	彼は幸福であるようだ。
He lived a happy life.	彼は幸せに暮らした。
He will join us later.	彼はあとから来るよ。
He made for the door.	彼は戸口の方に進んだ。
It seems that he's fine.	彼は元気らしい。
He is deep in study.	彼は研究に熱中している。
He deals in hardware.	彼は金物を商っている。
He has a strong body.	彼は強い体の持ち主だ。
He has a strong mind.	彼は強い心の持ち主だ。
He is an active boy.	彼は活動的な少年である。
He has a foreign car.	彼は外車を持っている。
He crossed over the sea.	彼は海を渡った。
Can he speak English?	彼は英語が話せますか。
He got quite well.	彼はもうすっかりよくなった。
He soon walked away.	彼はまもなく立ち去った。
He seems quite happy.	彼はとても幸福そうだ。
He has three brothers.	彼は３人の兄がいる。
His car is a new model.	彼の車は最新式だ。
He makes sense.	彼の言っていることはいい考えです。
I agree with his plan.	彼の計画に賛成です。
His house was on fire.	彼の家が燃えていた。
He has another son.	彼にはもう一人息子がいる。
Do you speak Japanese?	日本語が話せますか。
Do you speak Japanese?	日本語は話せますか。
Tokyo is a huge city.	東京は巨大な都市です。
What does it contain?	中に何が入ってますか。
Did anyone call me up?	誰からか電話あった？
The river is deep here.	川はこの辺が深い。
Keep up an old custom.	昔からの習慣を守る。
Still waters run deep.	静かな川は水が深い。
I hope it will be nice.	晴れればいいなあ。
The wound won't close.	傷がふさがりません。
Women like to talk.	女はしゃべることが好きだ。
The heat told on him.	暑さが彼にはこたえた。
Spring is drawing near.	春が近づいている。
We'll be late for class.	授業に遅れるよ。
Do I need an operation?	手術が必要ですか。
I studied like anything.	私は猛勉強した。
I know none of them.	私は彼らの誰も知らない。
I asked for his help.	私は彼に助けを求めた。
I know his address.	私は彼の住所を知っている。
I gave him some advice.	私は彼に忠告した。
I paid for the damage.	私は損害を弁償した。
I bought a new bag.	私は新しいバッグを買った。
I lead a happy life.	私は幸福な生活を送った。
I am far from happy.	私は幸福どころではない。
I don't like drinking.	私はお酒が嫌いです。
I wish to be a doctor.	私は医者になりたい。
My work is finished.	私の仕事は終わっている。
Where are my glasses?	私の眼鏡はどこですか。
Bring me my glasses.	私のめがねを持ってきて。
