Die!	死ね！
She hasn't come yet.	彼女はまだ来ていない。
She's but a child.	彼女はまだ子供にすぎない。
She is not up yet.	彼女はまだ起きていません。
How young she is!	彼女はなんて若いのでしょう。
She will come soon.	彼女はすぐ来るでしょう。
She is aged seventeen.	彼女は１７歳です。
Don't tell her about it.	彼女に言うな。
She is first in line.	彼女が列の先頭です。
He himself said so.	彼自身がそういったのだ。
They are very kind.	彼らはとても親切だった。
He is of a good line.	彼は良家の出である。
He is a man of reason.	彼は理性的な人だ。
I hope he will come.	彼は来てくれると思う。
He is reading a book.	彼は本を読んでいる。
He called me Ichiro.	彼は僕を一郎と呼んだ。
He gave a short talk.	彼は短い演説をした。
He was born in Osaka.	彼は大阪で生まれた。
He is my close friend.	彼は親しい友人だ。
He is kind at heart.	彼は心の底はやさしい。
He has no common sense.	彼は常識がない。
He set up in business.	彼は商売を始めた。
He called for help.	彼は助けてくれと叫んだ。
He is my old friend.	彼は私の古い友達です。
He asked me a question.	彼は私に尋ねた。
He gave me back talk.	彼は私に口答えした。
It was I who met him.	彼に会ったのは私だ。
He is a man of action.	彼は行動力がある。
He's stronger than you.	彼は君より強い。
He is home on leave.	彼は休暇で帰省中です。
He set up the school.	彼は学校を設立した。
He is good at driving.	彼は運転が上手だ。
He's already left.	彼はもうでかけてしまった。
He is hard on fifty.	彼はもうすぐ５０才だ。
He is already here.	彼はもうここに来ている。
He is playing here.	彼はここで遊んでいます。
He left home at 8:00.	彼は８時に家を出た。
He has a deep voice.	彼の声には底力がある。
Do you believe him?	彼の言う事を信じますか。
You may speak to him.	彼に話しても良いよ。
Do you see him often?	彼によく会いますか。
He is free from care.	彼には心配事がない。
How far along are you?	妊娠何か月ですか。
How's Saturday night?	土曜の夜はどうかな？
I am going to school.	登校するところです。
Mind your own business!	大きなお世話だ。
Still waters run deep.	静かな流れは深い。
It's going to clear up.	晴れてきそうだ。
Go about your business!	消えてなくなれ。
School is over now.	授業はもう終わりました。
May I ask a question?	質問があるのですが。
What's the room rate?	室料はいくらですか。
Show your own business.	自分の事をしろ。
We need the money.	私達はお金が必要なのです。
I am not up on history.	私は歴史に弱い。
I have a few friends.	友達なら少しいるよ。
I am shorter than he.	私は彼より背が低い。
I answered for him.	私は彼に代わって応えた。
I do not care for him.	私は彼が嫌いです。
I'm leaving on Sunday.	私は日曜日に発つ。
I have two books.	私は二冊の本を持っています。
I love reading books.	私は読書が好きです。
I was born in Osaka.	私は大阪の生まれです。
I am sixteen years old.	私は16歳です。
I left home at seven.	私は七時に家を出た。
I've made up my mind.	私は決心をしました。
I can't see anything.	私は何も見えません。
I can hear something.	私は何か聞こえます。
I can speak English.	私は英語をしゃべれる。
I'd like to watch TV.	私はテレビを見たい。
I believe that story.	私はその話を信じる。
I'll come back soon.	私はすぐに帰ってくる。
I am called John.	私はジョンと呼ばれています。
I'm short of money.	私はお金を使い果たした。
I am short of money.	私はお金に困っている。
I met your friend.	私はあなたの友達と会った。
I was born in 1960.	私は１９６０年生まれだ。
I am 30 years old now.	私は今30歳です。
Can you tell my age?	私の年がわかりますか。
I can hear nothing.	私には何も聞こえません。
I have an idea.	私に１つアイデアがあるのですが。
We are good friends.	私たちは良い友達です。
They are on the air now.	今放送中です。
Call me this evening.	今晩電話をください。
Let's stop here.	今日はこれでおしまいにしよう。
What shall I do next?	今度は何をしようか。
I am right for once.	今度こそは私が正しい。
I've changed my mind.	考えが変わりました。
Why don't you say it?	言ってみたらどうだ。
You know the answer?	君は答えがわかるって？
You may go at once.	君はすぐ行ってよろしい。
I heard it from you.	君からの便りがあった。
Money comes and goes.	金は天下の回りもの。
Don't give up hope.	希望を失ってはいけない。
You'd better believe.	間違いありませんよ。
Where will we meet?	会合の場所はどこですか。
We met along the way.	我々は途中で会った。
How kind you are!	何とあなたは親切なのだろう。
I've heard nothing.	俺は全く何も聞いてない。
Are you talking to me?	俺に話してるのか。
Can you speak English?	英語を話せますか。
What's the big idea?	一体どういう了見だね。
Would you play with me?	一緒に遊ばない？
Is there a problem?	悪いところがありますか。
At last, my turn came.	やっと順番がきた。
Of course I will go.	もちろん私も行きます。
There's no turning back.	もう戻れない。
It's already cleared up.	もう晴れたよ。
I must be leaving now.	もう行かなくちゃ。
You should make notes.	メモを取りなさい。
This is a great moment.	ハラハラするな。
Why did you come early?	なぜ早く来たの。
Why do you say that?	なぜそんな事を言うの。
Tom and I are friends.	トムと僕は友達だ。
Where shall we meet?	どこで会いましょうか。
Keep the door open.	ドアを開けておきなさい。
Can I turn on the TV?	テレビつけてもいい？
The TV won't turn on.	テレビが付きません。
My TV has broken down.	テレビが故障した。
The TV was turned on.	テレビがつけられた。
It only costs $10.00!	たった１０ドルだぜ。
Give up such ideas.	そんな考えは捨てなさい。
Stop saying that!	そんなこと言うのは、やめて！
It can't be true.	それは本当であるはずがない。
I think it's true.	それは本当だと思いますよ。
It may well be true.	それは多分本当だろう。
It is Pochi's food.	それはポチの食べ物です。
It can't be true.	それが本当であるはずが無い。
Where is the book?	その本はどこにありますか。
Is it large enough?	その大きさで十分ですか。
The watch broke down.	その時計は故障した。
The sound died away.	その音は消えていった。
I met a friend there.	そこで友人に会った。
Jim hasn't come yet.	ジムはまだきていない。
These are our books.	これらは私達の本です。
This is a small book.	これは小さい本です。
This is above me.	これは私には理解できません。
This is Tony's book.	これはトニーの本です。
This book is smaller.	この本の方が小さい。
Leave out this word.	この単語を省きなさい。
This door won't open.	このドアは開かない。
He wants the money.	お金を欲しがっています。
He's in the money.	うなるほど金を持っている。
Say the word any time.	いつでも合図して。
I've got a good idea.	いい考えがあります。
An idea came to me.	ある考えが心に浮かんだ。
You must not play.	あなたは遊んではいけない。
See you a little past 7.	７時過ぎにね。
Ten years have gone by.	１０年が過ぎた。
Ann is a little girl.	アンは幼い少女です。
My period hasn't come.	生理が来てません。
Why do you love me?	なんで私のこと好きなの？
