I try.	頑張ってみる。
Where is today's paper?	今日の新聞はどこ。
Whose turn is it next?	今度は誰の番ですか。
This is the last game.	今回が最後の試合だ。
I'll let you know later.	後で知らせるよ。
I'll call again later.	後でまた電話します。
Never tell a lie.	決して嘘をついてはいけません。
You were late for work.	仕事に遅刻したね。
I'm not feeling well.	気分がよくありません。
Stay here with us.	我々と一緒にここにいなさい。
My house was on fire.	家は火に包まれました。
Mr Kato is a teacher.	加藤さんは先生である。
I don't like bad boys.	悪い子は嫌いですよ。
Don't be a bad boy.	悪いことしてはだめですよ。
I wish I were younger.	もっと若ければなぁ。
It is time to go to bed.	もう寝るときだ。
Let's try once again.	もう一回やってみよう。
Mayuko looks cross.	マユコはきげんが悪そうだ。
Why did this happen?	なぜこうなったのかしら。
Eat and drink.	とにかく飲んだり、食べたりしなさい。
It was very difficult.	とても難しかったよ。
Which boy is Masao?	どちらの少年が正雄ですか。
Well, see you later.	では、後で会いましょう。
It was getting dark.	だんだん暗くなっていた。
Someone is at the door.	だれか玄関にいる。
It was a long letter.	それは長い手紙だった。
That's quite a story.	それはたいへんな話だ。
The car didn't move.	その車は動かなくなった。
The car didn't stop.	その車は止まらなかった。
The idea is not bad.	その考えはなかなかよい。
We'll begin work soon.	すぐ仕事を始めよう。
Whose turn is it next?	こんどは誰の番だい。
May I try this on?	これを試着してもいいですか。
Let's try this plan.	この計画をやってみよう。
What is Ken eating?	ケンは何を食べていますか。
When can I visit you?	いつお訪ねできますか。
That boy is running.	あの少年は走っています。
Do you have a car?	あなたは車を持っていますか。
Your lies pain me.	あなたは虚言で私は苦しめる。
I'll call again later.	あとでかけ直します。
I'm looking for my key.	鍵を探しています。
Do you have any brothers?	兄弟はいるか。
What is this letter?	これはなんの文字ですか。
I have my own theory.	私には持論があります。
I just kept on walking.	足がどんどん前に出る
Someone was already there.	すでに人がいた
The boys stood there.	その場所に少年達が立った
She continued talking.	彼女が更に言葉を続けた
He is considered a/an X.	彼がXと見做される
Come on, get walking!	ほらっ、キリキリ歩くっ！
Stand face to face.	面と向かい合って立ちなさい。
The walls close in on me.	壁が迫ってくる。
Father is still in bed.	父はまだ休んでいる。
My father's car is new.	父のは新しい車です。
I'll come if necessary.	必要なら私は来ます。
She fell from the tree.	彼女は木から落ちた。
She got out of the car.	彼女は車から降りた。
She ran out of paper.	彼女は紙を使い果たした。
What's eating her?	彼女は何をいらいらしているの。
She is likely to come.	彼女はやってきそうだ。
She has a good figure.	彼女はスタイルがいい。
Her face turned red.	彼女の顔は真っ赤になった。
Is she your teacher?	彼女があなたの先生ですか。
They are all in arms.	彼らはみな武装している。
He is quite a character.	彼は味のある人だ。
He called her bad names.	彼は彼女を罵った。
He walked up to her.	彼は彼女の方に歩み寄った。
He is as poor as ever.	彼は相変わらず貧乏だ。
He accepted my idea.	彼は私の考えを受け入れた。
He accepted my idea.	彼は私の意見を受け入れた。
He is not available.	彼は今電話に出られません。
He got up in the morning.	彼は今朝起きた。
He's the Bach of today.	彼は現代のバッハだ。
He chose a good wife.	彼はよい奥さんを選んだ。
He is no longer a boy.	彼はもう少年ではない。
He reads a good deal.	彼はなかなかの読書家だ。
He walked on and on.	彼はどんどん歩きつづけた。
He was all attention.	彼はとても注意深かった。
He lives in the town.	彼はその町に住んでいる。
He is likely to come.	彼はおそらく来るだろう。
He took a step forward.	彼は１歩前へ進んだ。
He is easy to reach.	彼に面会するのはたやすい。
I'll be late for school!	学校に遅刻しそう！
Who are you waiting for?	誰を待っているの？
Who shall I choose?	誰に白羽の矢を立てようかな。
Who broke the window?	誰が窓を壊したのですか。
Who broke this window?	誰がこの窓を壊したの？
I had no other choice.	他に手がなかったのだ。
What else do you want?	他に何が欲しいですか。
Did you want anything else?	他にご用は？
Don't open the window.	窓を開けてはいけない。
Look out of the window.	窓の外をご覧なさい。
Do you have any in red?	赤色のはありますか。
The men form a society.	男は社会を形成する。
I had a heart attack.	心臓発作を起こしました。
The car cut to the left.	車は急に左折した。
The car ran into a tree.	車が木に衝突した。
Time goes by quickly.	時は速やかにすぎてゆく。
May I use some paper?	紙を借りてもいいですか。
I am leaving next week.	私は来週出発します。
I gave him my address.	私は彼に住所を教えた。
I suggested that to him.	私は彼に主張した。
I found him a job.	私は彼に仕事を見つけてやった。
I'm a Windows person.	私は断然ウィンドウズ派。
I don't mind waiting.	私は待つのはかまわない。
I found out the truth.	私は真実を見いだした。
I am poor at drawing.	私は絵をかくのが苦手だ。
I want to eat something.	私は何か食べたい。
I like being alone.	私は一人でいるのが好きです。
I don't quite know.	私はよく分からないんですが。
I have but one wish.	私はただ１つの願いがある。
I will give it a try.	私はそれをやってみよう。
A boy spoke to me.	私はある少年に話し掛けられた。
My car is not running.	私の車は故障している。
Let my things alone.	私の持ち物には触らないで。
We are at home today.	私たちは今日家にいます。
The job is half done.	仕事の半分はかたづいた。
Can I go for a walk?	散歩に行ってもよいですか。
Shall I go for a walk?	散歩に行きましょうか。
I slept well last night.	昨夜は良く眠れた。
That's enough for today.	今日は終わりです。
I have no money today.	今日はお金がないんだ。
That's enough for today.	今日は、ここまで。
How was today's game?	今日の試合はどうだった。
I'm on top of the world.	幸福の絶頂にいる。
Cut and come again.	好きなだけとって食べなさい。
Easier said than done.	口では大阪の城も建つ。
I'll call you back later.	後で電話します。
Words stand for ideas.	言葉は思想をあらわす。
Let well enough alone.	現状のままにして置く。
You should try to see it.	見ておくべきだ。
Can you drive a car?	君は車の運転が出来ますか。
Who is your teacher?	君たちの先生はだれですか。
There is a lot of money.	金はたくさんある。
I'm not feeling well.	気分が良くないんですよ。
Did you get your wish?	願いがかないましたか。
School begins in April.	学校は４月に始まる。
Don't be late for school.	学校に遅れるな。
I'll be late for school!	学校に遅れちゃう！
What does this stand for?	何の略字ですか。
What shall I begin with?	何から始めようか。
Is everything all right?	異常ありませんか。
I parted with my old car.	愛車を手放した。
The list is as follows.	リストは次のとおり。
It's time to go to bed.	もう寝る時刻ですよ。
You are quite right.	まったく君の言うとおりだ。
I'll see you later.	またあとでお会いしましょう。
Bess is simply a child.	ベスはただの子供だ。
