I like tea.	私はお茶が好きです。
We played a baseball game yesterday.	私たちは昨日、野球の試合をした。
I did not read a book yesterday.	私は昨日、本を読みませんでした。
We are prepared for the worst.	私たちは最悪の場合の覚悟はできている。
We took advantage of the good weather to play tennis.	私たちは好天を利用してテニスを楽しんだ。
We saw some old houses pulled down.	私たちは古い家が取り壊されるのを見ました。
We express our thoughts by means of languages.	私たちは言語によって思想を表現する。
We learned that the moon goes around the earth.	私たちは月が地球のまわりを回っていることを学んだ。
We are dating with a view to marriage.	私たちは結婚を前提として交際しています。
We met Mrs. Brown at the theater.	私たちは劇場でブラウン夫人に会った。
We are brother and sister.	私たちは兄弟です。
We met her by accident.	私たちは偶然彼女に遭った。
We looked at the sky, but couldn't see any stars.	私たちは空を見上げたが、星は一つも見えなかった。
We deposit money in a bank.	私たちは銀行にお金を預けます。
We were associated in the enterprise.	私たちは共同でその会社をやっていた。
We decided on a trip to Singapore for our vacation.	私たちは休みを利用してシンガポールへ旅行することに決めた。
We were caught in a shower on the way to school.	私たちは学校へ行く途中にわか雨に会った。
We live in the neighborhood of the school.	私たちは学校の近くに住んでいる。
We were caught in a shower on our way from school.	私たちは学校から帰る途中でにわか雨にあった。
The more we learn, the more we realize how little we know.	私たちは学べば学ぶほどいかに少ししか知らないかがわかる。
We threw the ball in turn so that everyone could have a try.	私たちは皆がやれるように順番にボール投げをした。
We will debate this subject at the meeting.	私たちは会議でこのテーマについて討論するだろう。
We kept the fire burning.	私たちは火をずっとたいておいた。
We sat around the fire in a circle.	私たちは火の周りに円を描いて座った。
We sat around the fire in a circle.	私たちは火の周りに円を作って座った。
We received a warm welcome.	私たちは温かい歓迎を受けた。
We were going along in the rain.	私たちは雨の中を進んで行った。
We couldn't go out because of the rain.	私たちは雨のために外出できなかった。
We'll start as soon as it stops raining.	私たちは雨が止み次第出発します。
We didn't eat out this evening only because it was raining hard.	私たちは雨が激しく降っているという理由だけで、今夜外へ食べに出かけなかった。
We had dinner at a restaurant.	私たちはレストランで夕食をとった。
We walked another hundred yards.	私たちはもう１００ヤード歩いた。
We chose Mary a good birthday present.	私たちはメアリーに立派な誕生日の贈り物を選んだ。
We all wish for permanent world peace.	私たちはみんな恒久的な平和を願っている。
We all wish for permanent world peace.	私たちはみんな恒久的な世界平和を願っている。
All of us were surprised at the news.	私たちはみんなその知らせに驚きました。
We all made preparation for the meeting.	私たちはみんなその集まりの準備とした。
